Date,Open,Close,PercentChange
02/17/2021,3918.50,3931.33,0.003274
02/18/2021,3915.86,3913.97,-0.000483
02/19/2021,3921.16,3906.71,-0.003685
02/22/2021,3885.55,3876.50,-0.002329
02/23/2021,3857.07,3881.37,0.006300
02/24/2021,3873.71,3925.43,0.013352
02/25/2021,3915.80,3829.34,-0.022080
02/26/2021,3839.66,3811.15,-0.007425
03/01/2021,3842.51,3901.82,0.015435
03/02/2021,3903.64,3870.29,-0.008543
03/03/2021,3863.99,3819.72,-0.011457
03/04/2021,3818.53,3768.47,-0.013110
03/05/2021,3793.58,3841.94,0.012748
03/08/2021,3844.39,3821.35,-0.005993
03/09/2021,3851.93,3875.44,0.006103
03/10/2021,3891.99,3898.81,0.001752
03/11/2021,3915.54,3939.34,0.006078
03/12/2021,3924.52,3943.34,0.004795
03/15/2021,3942.96,3968.94,0.006589
03/16/2021,3973.59,3962.71,-0.002738
03/17/2021,3949.57,3974.12,0.006216
03/18/2021,3953.50,3915.46,-0.009622
03/19/2021,3913.14,3913.10,-0.000010
03/22/2021,3916.48,3940.59,0.006156
03/23/2021,3937.60,3910.52,-0.006877
03/24/2021,3919.93,3889.14,-0.007855
03/25/2021,3879.34,3909.52,0.007780
03/26/2021,3917.12,3974.54,0.014659
03/29/2021,3969.31,3971.09,0.000448
03/30/2021,3963.34,3958.55,-0.001209
03/31/2021,3967.25,3972.89,0.001422
04/01/2021,3992.78,4019.87,0.006785
04/05/2021,4034.44,4077.91,0.010775
04/06/2021,4075.57,4073.94,-0.000400
04/07/2021,4074.29,4079.95,0.001389
04/08/2021,4089.95,4097.17,0.001765
04/09/2021,4096.11,4128.80,0.007981
04/12/2021,4124.71,4127.99,0.000795
04/13/2021,4130.10,4141.59,0.002782
04/14/2021,4141.58,4124.66,-0.004085
04/15/2021,4139.76,4170.42,0.007406
04/16/2021,4174.14,4185.47,0.002714
04/19/2021,4179.80,4163.26,-0.003957
04/20/2021,4159.18,4134.94,-0.005828
04/21/2021,4128.42,4173.42,0.010900
04/22/2021,4170.46,4134.98,-0.008507
04/23/2021,4138.78,4180.17,0.010001
04/26/2021,4185.03,4187.62,0.000619
04/27/2021,4188.25,4186.72,-0.000365
04/28/2021,4185.14,4183.18,-0.000468
04/29/2021,4206.14,4211.47,0.001267
04/30/2021,4198.10,4181.17,-0.004033
05/03/2021,4191.98,4192.66,0.000162
05/04/2021,4179.04,4164.66,-0.003441
05/05/2021,4177.06,4167.59,-0.002267
05/06/2021,4169.14,4201.62,0.007791
05/07/2021,4210.34,4232.60,0.005287
05/10/2021,4228.29,4188.43,-0.009427
05/11/2021,4150.34,4152.10,0.000424
05/12/2021,4130.55,4063.04,-0.016344
05/13/2021,4074.99,4112.50,0.009205
05/14/2021,4129.58,4173.85,0.010720
05/17/2021,4169.92,4163.29,-0.001590
05/18/2021,4165.94,4127.83,-0.009148
05/19/2021,4098.45,4115.68,0.004204
05/20/2021,4121.97,4159.12,0.009013
05/21/2021,4168.61,4155.86,-0.003059
05/24/2021,4170.16,4197.05,0.006448
05/25/2021,4205.94,4188.13,-0.004234
05/26/2021,4191.59,4195.99,0.001050
05/27/2021,4201.94,4200.88,-0.000252
05/28/2021,4210.77,4204.11,-0.001582
06/01/2021,4216.52,4202.04,-0.003434
06/02/2021,4206.82,4208.12,0.000309
06/03/2021,4191.43,4192.85,0.000339
06/04/2021,4206.05,4229.89,0.005668
06/07/2021,4229.34,4226.52,-0.000667
